"grupo";"salario"
"g1";5758,268336134
"g1";6533,9943704988
"g1";6573,06559250671
"g1";6816,55832586366
"g1";1357,71875814737
"g1";7676,0168766889
"g1";6104,40865814163
"g1";8085,79316775162
"g1";5018,88724882198
"g1";3582,46387114451
"g1";5089,89947643129
"g1";5411,08768785745
"g1";4220,02211440742
"g1";4557,22736245874
"g1";5408,63002357309
"g1";5532,67001362032
"g1";2207,20613182532
"g1";3915,33292111112
"g1";3716,64109658577
"g1";4958,66202291843
"g1";8711,21426941362
"g1";6364,93353722746
"g1";5255,8059792432
"g1";4406,93384457606
"g1";350,580038641041
"g1";4954,56401075977
"g1";2876,58629805876
"g1";39,1313022680761
"g1";5684,6308832729
"g1";4145,08699056473
"g1";2977,75352418005
"g1";2707,85681052583
"g1";3170,50230769084
"g1";2157,38675918938
"g1";6712,44524814597
"g1";3975,42797250009
"g1";6363,1568855479
"g1";4934,63119563644
"g1";3216,88944652204
"g1";-297,885690606736
"g1";2528,64008566627
"g1";3785,71193048211
"g1";6209,24241519146
"g1";8102,19997597801
"g1";5934,12598079178
"g1";5277,82579068589
"g1";5098,45466820064
"g1";6840,05494928358
"g1";608,34658490631
"g1";1535,84017628798
"g1";2407,3592380046
"g1";3051,70554881981
"g1";3562,72915366794
"g1";5356,82099781654
"g1";7135,35224290602
"g1";4243,7496886194
"g1";6687,69008558016
"g1";6765,68132688508
"g1";4152,31998594708
"g1";5054,19827286554
"g1";5881,31129316475
"g1";4122,70871829737
"g1";4880,12568249502
"g1";6403,6948523054
"g1";2747,92787770273
"g1";3057,21091019091
"g1";5794,81724217761
"g1";5578,87491984234
"g1";3932,87581045414
"g1";4488,11248563389
"g1";3621,04354568794
"g1";6800,07639019971
"g1";5420,49848391715
"g1";5529,22809132817
"g1";4869,14321614572
"g1";2306,17922491161
"g1";2624,12395502337
"g1";4119,94733735251
"g1";6181,28518698837
"g1";6965,36613651704
"g1";4207,48234912727
"g1";6092,75371906905
"g1";7866,49412595646
"g1";3984,19517607916
"g1";9321,48814553343
"g1";4362,21197987778
"g1";4606,07707719246
"g1";5474,67097265023
"g1";3299,91820313361
"g1";4006,7292460295
"g1";1495,79714327016
"g1";7883,13534304275
"g1";5887,47732136041
"g1";4201,24044441385
"g1";6132,00392199604
"g1";6970,62405417954
"g1";4345,14748353776
"g1";5110,13141420509
"g1";3125,05548090213
"g1";5144,85276656547
"g1";2528,43832526883
"g1";6250,78122719915
"g1";8877,39436791311
"g1";6624,53616299558
"g1";8242,06765738523
"g1";6509,05861456512
"g1";7476,39953707781
"g1";7531,09146406801
"g1";3145,30483058711
"g1";5691,5271685451
"g1";6233,89052321375
"g1";5930,69387930376
"g1";3895,17427120792
"g1";7165,26937980632
"g1";3219,88252731674
"g1";3612,15379829035
"g1";5524,25584455223
"g1";5260,79733768284
"g1";8558,13420463528
"g1";3076,75374488457
"g1";4436,97485095754
"g1";4216,8320832689
"g1";5819,85692354223
"g1";5274,38524398917
"g1";1356,07257429998
"g1";6494,90665452313
"g1";4579,66402287185
"g1";5488,41401413381
"g1";5006,67263867623
"g1";8377,41468779691
"g1";4563,72230507432
"g1";6265,17408221466
"g1";3830,40333091725
"g1";7609,19499295677
"g1";3938,16916251833
"g1";5153,47136524751
"g1";7404,92449250592
"g1";5255,72182612229
"g1";4375,67779702453
"g1";5524,69025693716
"g1";5650,78620298384
"g1";5947,9350195532
"g1";4495,96867907298
"g1";3596,53460221646
"g1";6220,23924428545
"g1";9223,8870274813
"g1";2728,64234969728
"g1";3785,93186886931
"g1";1607,10427017554
"g1";2140,93643051938
"g1";6389,74624409095
"g1";5358,13610720075
"g1";4691,76891224906
"g1";4113,34071107891
"g1";6356,33139683865
"g1";5669,22843214171
"g1";10007,8074025958
"g1";8938,11251915699
"g1";4732,34066085716
"g1";6390,67455724045
"g1";5502,8014291937
"g1";7741,43598606357
"g1";812,503767236431
"g1";6186,19922977768
"g1";4420,01330330756
"g1";2870,2767015538
"g1";2772,1240662962
"g1";3248,16342832646
"g1";4576,23717482167
"g1";8076,33981145111
"g1";5185,90593069466
"g1";6340,55965590043
"g1";5482,663218213
"g1";5910,6100304787
"g1";551,7973107384
"g1";2047,47425541693
"g1";6959,4107608804
"g1";5872,67069737684
"g1";6873,97386922764
"g1";1614,75997967785
"g1";6696,06525898845
"g1";4464,96383990637
"g1";3322,53421802926
"g1";5757,2381570712
"g1";5546,05753432674
"g1";6531,25894291738
"g1";835,198714068747
"g1";874,102092178693
"g1";4473,94525345793
"g1";4680,87855160286
"g1";4606,95750020145
"g1";5743,65100159284
"g1";1836,76155277905
"g1";5508,75165053992
"g1";2473,61654287141
"g1";3361,47800774268
"g1";2120,03241190628
"g1";2417,68086139417
"g1";2665,16411942366
"g1";4987,9222796283
"g1";3393,92836566892
"g1";6488,68909053863
"g1";898,358383188891
"g1";3471,59938231125
"g1";6256,58202834934
"g1";3454,66014986942
"g1";4106,73446891037
"g1";3098,66181479318
"g1";5691,73949422027
"g1";6799,59692160705
"g1";8287,19291423625
"g1";7715,32792202656
"g1";5826,69140583942
"g1";5356,87408563561
"g1";3867,91401824823
"g1";5458,63283517014
"g1";3944,40201822852
"g1";7602,17335883557
"g1";5282,553098604
"g1";7755,44078603655
"g1";3649,39633242502
"g1";3664,89627172138
"g1";3939,13715699833
"g1";5852,45083510327
"g1";5372,43229077479
"g1";3883,49198035556
"g1";5625,33697528163
"g1";7421,55112123773
"g1";5046,56205536905
"g1";4338,3133018817
"g1";3278,15528746635
"g1";4106,59727286054
"g1";3638,32495059991
"g1";7896,54871123828
"g1";9675,16412342614
"g1";7387,94929570311
"g1";2863,32434081772
"g1";2590,69816869126
"g1";3342,33861595412
"g1";5453,76510619204
"g1";3887,01971146947
"g1";3459,37927646401
"g1";6601,31694739134
"g1";4617,51937531702
"g1";6513,47664514981
"g1";5904,26143501936
"g1";2091,68259914654
"g1";3125,90758596926
"g1";7832,79823324757
"g1";6745,7388492156
"g1";4409,90723439344
"g1";1722,35816216726
"g1";3659,62359538127
"g1";3149,03855733157
"g1";6988,17630052843
"g1";7937,74140294353
"g1";4936,94340353749
"g1";3119,81505701453
"g1";6179,04459653382
"g1";4647,99552023618
"g1";6555,07945829717
"g1";3297,1224667674
"g1";6133,18674284504
"g1";3645,46759886485
"g1";8034,13141699917
"g1";5512,00636325922
"g1";6875,84910963959
"g1";5279,43170158742
"g1";6170,53418245459
"g1";6580,58435004192
"g1";3396,14400107949
"g1";8371,83493049884
"g1";3563,52528079948
"g1";10171,5804528006
"g1";7595,21464551132
"g1";5970,24380436077
"g1";7471,09221131872
"g1";5189,97209357952
"g1";4360,33449836642
"g1";3359,54934255395
"g1";5394,7200447407
"g1";1624,00553702954
"g1";3350,59855104073
"g1";7834,86477896803
"g1";4280,6177901162
"g1";6363,14584086329
"g1";3732,84990272616
"g1";2232,67992976235
"g1";4928,95502486103
"g1";6698,19334142915
"g1";3787,04591074829
"g1";6025,48429164383
"g1";4301,31062284681
"g1";3404,07845636031
"g1";4829,24018329685
"g1";5255,83782499055
"g1";5973,12257822134
"g1";5661,95533972927
"g1";5600,14284676188
"g1";6495,59327722798
"g1";5923,52725584376
"g1";4277,6662152436
"g1";5120,32507059524
"g1";7844,68645906523
"g1";3538,60939895084
